sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
110,394,12.53413,parallel,-38.77563,44.8642,-38.79412,44.85412,0.02105853,15.55206,110,0,0,0,1,1,0.004193306
111,395,12.59218,parallel,-38.75714,44.87429,-38.75714,44.87429,0,15.51574,110,1.311169,97,1,1,1,0.0666666
112,396,12.64867,parallel,-38.73866,44.88437,-38.75714,44.87429,0.02106005,15.51574,110,0,0,0,1,1,0.01018238
113,397,12.71052,parallel,-38.72017,44.89445,-38.72017,44.89445,0,15.47941,110,1.37836,95,2,1,1,0.0666666
114,398,12.77529,parallel,-38.70168,44.90454,-38.72017,44.89445,0.02106005,15.47941,110,0,0,0,1,1,0.001899719
115,399,12.83183,parallel,-38.68319,44.91462,-38.68319,44.91462,0,15.37594,107,15.35552,95,3,1,1,0.0666666
116,400,12.89374,parallel,-38.66471,44.92471,-38.68319,44.91462,0.0210567,15.37594,107,0,0,0,1,1,0.004755974
117,401,12.95808,parallel,-38.64631,44.93461,-38.64631,44.93461,0,15.37156,109,1.490088,95,3,1,1,0.0666666
118,402,13.02913,parallel,-38.63543,44.92925,-38.63543,44.92925,0,15.37245,109,0.1089188,71,0,1,1,0.0666666
119,403,13.09805,parallel,-38.62451,44.92397,-38.62451,44.92397,0,15.37324,109,1.478294,68,1,1,1,0.0666666
120,404,13.17215,parallel,-38.61369,44.91847,-38.61369,44.91847,0,15.37429,109,15.30516,72,2,1,1,0.0666666
121,405,13.23945,parallel,-38.60269,44.91336,-38.60269,44.91336,0,15.37486,109,1.430521,64,1,1,1,0.0666666
122,406,13.30064,parallel,-38.59192,44.90778,-38.60269,44.91336,0.01213075,15.37486,109,0,0,0,1,1,0.005469322
123,407,13.33891,parallel,-38.57571,44.91324,-38.57571,44.91324,0,15.36334,109,1.42357,163,3,1,1,0.0666666
124,408,13.36653,parallel,-38.55761,44.92255,-38.57571,44.91324,0.02035544,15.36334,109,0,0,0,1,1,0.03904915
125,409,13.38662,parallel,-38.52295,44.96547,-38.52295,44.96547,0,15.28618,109,1.444332,173,7,1,1,0.0666666
126,410,13.40361,parallel,-38.51331,44.95757,-38.52295,44.96547,0.01245516,15.28618,109,0,0,0,1,1,0.04968262
127,411,13.42074,parallel,-38.49874,44.95971,-38.52295,44.96547,0.02487652,15.28618,109,0,0,0,1,1,0.0325489
128,412,13.44051,parallel,-38.45419,45.02271,-38.45419,45.02271,0,15.1969,109,1.432841,176,9,1,1,0.0666666
129,413,13.45769,parallel,-38.4587,44.98618,-38.45419,45.02271,0.03680677,15.1969,109,0,0,0,1,1,0.04948997
130,414,13.47602,parallel,-38.46022,44.95577,-38.46022,44.95577,0,15.22796,108,15.22796,175,5,1,1,0.0666666
131,415,13.49303,parallel,-38.45542,44.9382,-38.46022,44.95577,0.01821037,15.22796,108,0,0,0,1,1,0.04965401
132,416,13.50933,parallel,-38.40946,45.00386,-38.40946,45.00386,0,15.1546,108,1.446843,177,6,1,1,0.0666666
133,417,13.5261,parallel,-38.39923,44.99728,-38.40946,45.00386,0.0121677,15.1546,108,0,0,0,1,1,0.04989719
134,418,13.54441,parallel,-38.29829,45.17579,-38.29829,45.17579,0,0,-1,17.42606,180,100,1,1,0.0666666
135,419,13.56212,parallel,-38.28271,45.18028,-38.29829,45.17579,0.01621331,0,-1,0,0,0,1,1,0.04895592
136,420,13.58298,parallel,-38.27087,45.17779,-38.29829,45.17579,0.02749661,0,-1,0,0,0,1,1,0.02809906
137,421,13.63904,parallel,-38.18063,45.33658,-38.18063,45.33658,0,2.4088,89,4.149714,180,108,1,1,0.0666666
138,422,13.65931,parallel,-38.20195,45.26489,-38.20195,45.26489,0,1.884079,84,2.579422,176,6,1,1,0.0666666
